term,importance
feature_0109,0.1952966621954874
feature_0002,0.1938167964805742
feature_0023,0.1681605099228864
feature_0022,0.160775109905035
feature_0056,0.15685411024465723
feature_0122,0.15334936050843448
feature_0003,0.14119789286181092
feature_0057,0.1209146554041038
feature_0139,0.11967282794039383
feature_0117,0.10533269552270573
feature_0052,0.10312207182466784
feature_0005,0.10151773602443662
feature_0055,0.09002705887254979
feature_0113,0.08797250022893727
feature_0206,0.08502473614006209
feature_0112,0.08339549838748951
feature_0140,0.08110263595479734
feature_0075,0.08032074548194253
feature_0098,0.06405258375846745
feature_0124,0.06393735933435105
feature_0080,0.06353834579519572
feature_0005 & feature_0206,0.06124607337827106
feature_0059,0.06071941781102932
feature_0129,0.05948071004330481
feature_0058,0.0580736598736748
feature_0131,0.056690052660533265
feature_0095,0.05520795450497932
feature_0102,0.05499846875195583
feature_0089,0.0518473274633882
feature_0070,0.050025262659164904
feature_0149,0.04977686963891219
feature_0009,0.04834956775811893
feature_0152,0.04745294926156389
feature_0073,0.04686301037226977
feature_0086,0.04643619686231829
feature_0115,0.04616360628320428
feature_0021,0.04582413451219971
feature_0093,0.04476673242290692
feature_0043,0.04468413513124367
feature_0154,0.044271705327166386
feature_0101,0.043967961470713954
feature_0096,0.04348082055491459
feature_0007,0.04340874924572321
feature_0072,0.04340302219700175
feature_0004,0.04324592554542413
feature_0054,0.04015998859195115
feature_0063,0.040037535258000835
feature_0077,0.039009829446127325
feature_0108,0.03884961428731333
feature_0092,0.03853431419359713
feature_0066,0.038526315180719195
feature_0111,0.038420337105748645
feature_0013,0.036428122899960176
feature_0148,0.03580080199732966
feature_0078,0.035467864907675915
feature_0125,0.03519425734956724
feature_0071,0.034783869785473785
feature_0114,0.033766939268159546
feature_0074 & feature_0089,0.03331093652548164
feature_0008,0.03240786119473357
feature_0128,0.0316244440284079
feature_0137,0.031571240415046636
feature_0104,0.031155372544449455
feature_0053,0.028994698387842688
feature_0097,0.027944877141323446
feature_0081,0.027848816958628477
feature_0021 & feature_0139,0.02752390726565325
feature_0051,0.026510052749044798
feature_0120,0.02648671041275982
feature_0005 & feature_0021,0.02606293126195049
feature_0040,0.02558999921725378
feature_0069,0.023962397157090937
feature_0110,0.023656286745982913
feature_0126,0.023473806014383914
feature_0103,0.02329864348386206
feature_0079,0.022945131857203434
feature_0192,0.022936759262766393
feature_0062,0.02234495451283011
feature_0060,0.022326039654165655
feature_0168,0.022290135074514876
feature_0107,0.021951393870835816
feature_0049,0.02176376591542543
feature_0082,0.021644335010379885
feature_0138,0.02160056753889035
feature_0182,0.021350815695483794
feature_0100,0.020796065701524844
feature_0068,0.020785358459736197
feature_0076,0.0204311464145904
feature_0006,0.02009747536671009
feature_0042,0.019254489130649772
feature_0010,0.0190607145076888
feature_0118,0.018644661822491325
feature_0099,0.018404135461554266
feature_0105,0.01786134012111299
feature_0023 & feature_0114,0.017433517692036823
feature_0116,0.017391876302962968
feature_0208,0.017055176310630502
feature_0051 & feature_0206,0.016803032149493323
feature_0127,0.016645984065172877
feature_0165,0.016090348549560235
feature_0064,0.016066277446257105
feature_0035,0.015787334957804083
feature_0014,0.015760808713081286
feature_0156,0.015509140476626448
feature_0166,0.015363469368563674
feature_0039,0.015037716257989876
feature_0094,0.015028641091818697
feature_0106,0.015015265335969601
feature_0205,0.014413118004594796
feature_0130,0.014360080327926905
feature_0018,0.014306952583162716
feature_0202,0.014301296347040476
feature_0034,0.014207386837159854
feature_0123,0.014044878945202961
feature_0069 & feature_0118,0.013951523290023991
feature_0065,0.01385572847453131
feature_0121,0.013460006017134268
feature_0023 & feature_0116,0.01335862732282832
feature_0147,0.013238510563131647
feature_0031,0.013220523577807277
feature_0074,0.013109584776341023
feature_0001,0.012761079164153536
feature_0200,0.011995425354883633
feature_0061,0.01195622321567489
feature_0136,0.01192809869676958
feature_0153,0.011864757561421115
feature_0091,0.01176196173327076
feature_0041,0.011620815927142288
feature_0026,0.010658692041520255
feature_0032,0.010384489135628486
feature_0174,0.010363654951652595
feature_0037,0.009823834294583743
feature_0203,0.009589563522361625
feature_0162,0.009579755010986042
feature_0119,0.009537585432807517
feature_0038,0.009511619719427015
feature_0085,0.009419326134298573
feature_0088,0.009084925113392777
feature_0050,0.008892635630933246
feature_0141,0.008778439376087934
feature_0024,0.00872342203053216
feature_0023 & feature_0115,0.008549787858544666
feature_0146,0.008424950684746892
feature_0045,0.008010879810677423
feature_0084,0.007744332266726229
feature_0033,0.007656723296571819
feature_0155,0.00744474901210767
feature_0069 & feature_0114,0.007408886820090664
feature_0036,0.007396082589207722
feature_0030,0.007381029074549701
feature_0027,0.007376303887314828
feature_0183,0.007363201572275245
feature_0167,0.007197880562146653
feature_0157,0.006577895061353952
feature_0190,0.006419561100615153
feature_0145,0.006188039410368117
feature_0029,0.005904737656512525
feature_0028,0.005794512534663915
feature_0000,0.005767077178316709
feature_0159,0.005701417053017584
feature_0046,0.005662826494379332
feature_0067,0.0054339847024279485
feature_0171,0.005324747103591943
feature_0178,0.005187400956159226
feature_0087,0.005152567474450894
feature_0186,0.005093268561303941
feature_0179,0.004988014533699231
feature_0161,0.004983535948035625
feature_0090,0.004688591447560787
feature_0176,0.004503215985484724
feature_0011,0.004497826138810757
feature_0188,0.0043044756770524275
feature_0143,0.004026437322337401
feature_0172,0.003983996817543569
feature_0025,0.0038713536529315414
feature_0175,0.003781342006296905
feature_0151,0.0037677715423993317
feature_0019,0.003699492273351328
feature_0135,0.0036942440956346154
feature_0170,0.0035991919093362316
feature_0020,0.0035408177787054976
feature_0048,0.003388926597937283
feature_0199,0.003310822832166352
feature_0012,0.003226363950473529
feature_0184,0.0030415678783652974
feature_0173,0.002938651934748776
feature_0164,0.0029270799413594964
feature_0132,0.002574664872716386
feature_0187,0.002519581097366915
feature_0194,0.002498432697526769
feature_0197,0.002496521977573124
feature_0134,0.0024665267017486593
feature_0160,0.0023788092294082784
feature_0015,0.002210922198941017
feature_0189,0.0021853925140822316
feature_0083,0.0019414184265147928
feature_0144,0.0018992233779388176
feature_0193,0.0017249680103218787
feature_0158,0.0015567125169068806
feature_0195,0.0015550979727256672
feature_0150,0.0014000471220898278
feature_0017,0.0013733580132297334
feature_0163,0.0013159309323391764
feature_0177,0.0013087424152632447
feature_0016,0.0012858023488734305
feature_0204,0.0012803198845891717
feature_0185,0.0012094893156536096
feature_0201,0.0010618067657671509
feature_0196,0.001023330457887352
feature_0047,0.0009106236469706735
feature_0142,0.0008513179016239195
feature_0207,0.0007788978255719452
feature_0044,0.000750990377114998
feature_0198,0.0007447490984993804
feature_0181,0.0006999259250948509
feature_0191,0.0006038170786864651
feature_0180,0.0005921550293261287
feature_0169,0.00037947874187679073
feature_0133,0.0003238255608411884
